# GENERATED by tools/gen-program-index.py -- do not edit.
# program	package
[	uutils-coreutils
aarch64-unknown-linux-gnu-c++	gcc
aarch64-unknown-linux-gnu-g++	gcc
aarch64-unknown-linux-gnu-gcc	gcc
aarch64-unknown-linux-gnu-gcc-15.2.0	gcc
aarch64-unknown-linux-gnu-gcc-ar	gcc
aarch64-unknown-linux-gnu-gcc-nm	gcc
aarch64-unknown-linux-gnu-gcc-ranlib	gcc
addpart	util-linux
addr2line	binutils
agetty	util-linux
appstreamcli	appstream
ar	binutils
arch	uutils-coreutils
as	binutils
attr	attr
autopoint	gettext
awk	gawk
b2sum	uutils-coreutils
base32	uutils-coreutils
base64	uutils-coreutils
basename	uutils-coreutils
basenc	uutils-coreutils
bash	bash
bashbug	bash
bison	bison
bits	util-linux
blkdiscard	util-linux
blkid	util-linux
blkpr	util-linux
blkzone	util-linux
blockdev	util-linux
bomtool	pkgconf
brotli	brotli
bugpoint	llvm
bunzip2	bzip2
busctl	elogind
bzcat	bzip2
bzcmp	bzip2
bzdiff	bzip2
bzegrep	bzip2
bzfgrep	bzip2
bzgrep	bzip2
bzip2	bzip2
bzip2recover	bzip2
bzless	bzip2
bzmore	bzip2
c++	gcc
c++filt	binutils
c_rehash	openssl
cairo-trace	cairo
cal	util-linux
capsh	libcap
captoinfo	ncurses
cat	uutils-coreutils
cc	gcc
cfdisk	util-linux
chacl	acl
chage	shadow
chcpu	util-linux
chfn	shadow
chgpasswd	shadow
chgrp	uutils-coreutils
chmem	util-linux
chmod	uutils-coreutils
choom	util-linux
chown	uutils-coreutils
chpasswd	shadow
chroot	uutils-coreutils
chrt	util-linux
chsh	shadow
cjpeg	libjpeg-turbo
cksum	uutils-coreutils
clear	ncurses
cmake	cmake
cmp	diffutils
col	util-linux
colcrt	util-linux
colrm	util-linux
column	util-linux
comm	uutils-coreutils
corelist	perl
coresched	util-linux
coreutils	uutils-coreutils
cp	uutils-coreutils
cpack	cmake
cpan	perl
cpp	gcc
csplit	uutils-coreutils
ctest	cmake
ctrlaltdel	util-linux
cut	uutils-coreutils
cwebp	libwebp
date	uutils-coreutils
dbus-cleanup-sockets	dbus
dbus-daemon	dbus
dbus-daemon-launch-helper	dbus
dbus-launch	dbus
dbus-monitor	dbus
dbus-run-session	dbus
dbus-send	dbus
dbus-test-tool	dbus
dbus-update-activation-environment	dbus
dbus-uuidgen	dbus
dd	uutils-coreutils
delpart	util-linux
depmod	kmod
desktop-file-edit	desktop-file-utils
desktop-file-install	desktop-file-utils
desktop-file-validate	desktop-file-utils
df	uutils-coreutils
diff	diffutils
diff3	diffutils
dir	uutils-coreutils
dircolors	uutils-coreutils
dirname	uutils-coreutils
djpeg	libjpeg-turbo
dmesg	util-linux
dsymutil	llvm
du	uutils-coreutils
dwebp	libwebp
echo	uutils-coreutils
egrep	grep
eject	util-linux
elfedit	binutils
elogind	elogind
elogind-cgroups-agent	elogind
elogind-inhibit	elogind
elogind-uaccess-command	elogind
enc2xs	perl
encguess	perl
enosys	util-linux
env	uutils-coreutils
envsubst	gettext
exch	util-linux
expand	uutils-coreutils
expiry	shadow
expr	uutils-coreutils
factor	uutils-coreutils
fadvise	util-linux
faillock	linux-pam
faillog	shadow
fallocate	util-linux
false	uutils-coreutils
fax2ps	libtiff
fax2tiff	libtiff
fc-cache	fontconfig
fc-cat	fontconfig
fc-conflist	fontconfig
fc-list	fontconfig
fc-match	fontconfig
fc-pattern	fontconfig
fc-query	fontconfig
fc-scan	fontconfig
fc-validate	fontconfig
fdisk	util-linux
fgrep	grep
file	file
fincore	util-linux
find	findutils
findfs	util-linux
findmnt	util-linux
flex	flex
flex++	flex
flock	util-linux
fmt	uutils-coreutils
fold	uutils-coreutils
frcode	findutils
freetype-config	freetype
fribidi	fribidi
fsck	util-linux
fsck.cramfs	util-linux
fsck.minix	util-linux
fsfreeze	util-linux
fstrim	util-linux
g++	gcc
g-ir-annotation-tool	gobject-introspection
g-ir-compiler	gobject-introspection
g-ir-generate	gobject-introspection
g-ir-inspect	gobject-introspection
g-ir-scanner	gobject-introspection
gapplication	glib
gawk	gawk
gawk-5.3.2	gawk
gawkbug	gawk
gcc	gcc
gcc-ar	gcc
gcc-nm	gcc
gcc-ranlib	gcc
gcov	gcc
gcov-dump	gcc
gcov-tool	gcc
gdbus	glib
gdbus-codegen	glib
gdk-pixbuf-csource	gdk-pixbuf
gdk-pixbuf-pixdata	gdk-pixbuf
gdk-pixbuf-query-loaders	gdk-pixbuf
gdk-pixbuf-thumbnailer	gdk-pixbuf
gencat	glibc
getcap	libcap
getconf	glibc
getent	glibc
getfacl	acl
getfattr	attr
getopt	util-linux
getpcaps	libcap
getsubids	shadow
gettext	gettext
gettext.sh	gettext
gettextize	gettext
gi-compile-repository	glib
gi-decompile-typelib	glib
gi-inspect-typelib	glib
gio	glib
gio-launch-desktop	glib
gio-querymodules	glib
glib-compile-resources	glib
glib-compile-schemas	glib
glib-genmarshal	glib
glib-gettextize	glib
glib-mkenums	glib
gobject-query	glib
gpasswd	shadow
gperf	gperf
gprof	binutils
grep	grep
gresource	glib
groupadd	shadow
groupdel	shadow
groupmems	shadow
groupmod	shadow
groups	uutils-coreutils
grpck	shadow
grpconv	shadow
grpunconv	shadow
gsettings	glib
gtester	glib
gtester-report	glib
gtk4-builder-tool	gtk4
gtk4-encode-symbolic-svg	gtk4
gtk4-image-tool	gtk4
gtk4-launch	gtk4
gtk4-path-tool	gtk4
gtk4-query-settings	gtk4
gtk4-rendernode-tool	gtk4
gtk4-update-icon-cache	gtk4
gunzip	gzip
gzexe	gzip
gzip	gzip
h2ph	perl
h2xs	perl
hardlink	util-linux
head	uutils-coreutils
hexdump	util-linux
hostid	uutils-coreutils
hostname	uutils-coreutils
hwclock	util-linux
iconv	glibc
iconvconfig	glibc
id	uutils-coreutils
idle3	python
idle3.13	python
img2webp	libwebp
info	texinfo
infocmp	ncurses
infotocap	ncurses
insmod	kmod
install	uutils-coreutils
install-info	texinfo
instmodsh	perl
ionice	util-linux
ipcmk	util-linux
ipcrm	util-linux
ipcs	util-linux
irqtop	util-linux
isosize	util-linux
itstool	itstool
join	uutils-coreutils
jpegtran	libjpeg-turbo
json_pp	perl
kill	uutils-coreutils
kmod	kmod
last	util-linux
lastb	util-linux
ld	binutils
ld.bfd	binutils
ld.so	glibc
ldattach	util-linux
ldconfig	glibc
ldd	glibc
libevdev-tweak-device	libevdev
libinput	libinput
libnetcfg	perl
libpng-config	libpng
libpng16-config	libpng
link	uutils-coreutils
linux32	util-linux
linux64	util-linux
llc	llvm
lli	llvm
llvm-addr2line	llvm
llvm-ar	llvm
llvm-as	llvm
llvm-bcanalyzer	llvm
llvm-bitcode-strip	llvm
llvm-c-test	llvm
llvm-cat	llvm
llvm-cfi-verify	llvm
llvm-cgdata	llvm
llvm-config	llvm
llvm-cov	llvm
llvm-ctxprof-util	llvm
llvm-cvtres	llvm
llvm-cxxdump	llvm
llvm-cxxfilt	llvm
llvm-cxxmap	llvm
llvm-debuginfo-analyzer	llvm
llvm-debuginfod	llvm
llvm-debuginfod-find	llvm
llvm-diff	llvm
llvm-dis	llvm
llvm-dlltool	llvm
llvm-dwarfdump	llvm
llvm-dwarfutil	llvm
llvm-dwp	llvm
llvm-exegesis	llvm
llvm-extract	llvm
llvm-gsymutil	llvm
llvm-ifs	llvm
llvm-install-name-tool	llvm
llvm-jitlink	llvm
llvm-lib	llvm
llvm-libtool-darwin	llvm
llvm-link	llvm
llvm-lipo	llvm
llvm-lto	llvm
llvm-lto2	llvm
llvm-mc	llvm
llvm-mca	llvm
llvm-ml	llvm
llvm-modextract	llvm
llvm-mt	llvm
llvm-nm	llvm
llvm-objcopy	llvm
llvm-objdump	llvm
llvm-opt-report	llvm
llvm-otool	llvm
llvm-pdbutil	llvm
llvm-profdata	llvm
llvm-profgen	llvm
llvm-ranlib	llvm
llvm-rc	llvm
llvm-readelf	llvm
llvm-readobj	llvm
llvm-readtapi	llvm
llvm-reduce	llvm
llvm-remarkutil	llvm
llvm-rtdyld	llvm
llvm-sim	llvm
llvm-size	llvm
llvm-split	llvm
llvm-stress	llvm
llvm-strings	llvm
llvm-strip	llvm
llvm-symbolizer	llvm
llvm-tblgen	llvm
llvm-tli-checker	llvm
llvm-undname	llvm
llvm-windres	llvm
llvm-xray	llvm
ln	uutils-coreutils
locale	glibc
localedef	glibc
locate	findutils
logger	util-linux
login	shadow
loginctl	elogind
logname	uutils-coreutils
logoutd	shadow
look	util-linux
losetup	util-linux
ls	uutils-coreutils
lsblk	util-linux
lsclocks	util-linux
lscpu	util-linux
lsfd	util-linux
lsipc	util-linux
lsirq	util-linux
lslocks	util-linux
lslogins	util-linux
lsmem	util-linux
lsmod	kmod
lsns	util-linux
